final_learning_rate,include_digit_length_classifier,layers,learning_rate,num_hidden,step,test_accuracy,train_accuracy,use_dropout,use_max_pool,valid_accuracy
0.04847,False,[16],0.05,64,5993,0.668,0.688,True,False,0.628
0.0497,False,"[8, 16, 32]",0.05,32,1176,0.737,0.755,False,False,0.715
0.02416,False,"[8, 16]",0.025,128,6596,0.804,0.88,False,True,0.807
0.04869,False,[32],0.05,128,5143,0.735,0.708,True,True,0.71
0.09729,False,"[8, 16, 32]",0.1,64,5299,0.805,0.943,False,True,0.817
0.04842,False,"[8, 16]",0.05,128,6190,0.749,0.724,True,True,0.718
0.0483,False,"[8, 16]",0.05,64,6698,0.808,0.953,False,True,0.813
0.09736,False,[32],0.1,128,5177,0.764,0.823,True,True,0.736
0.02371,False,[8],0.025,32,10258,0.629,0.589,True,True,0.589
0.09747,False,"[8, 16, 32]",0.1,64,4959,0.73,0.656,True,True,0.682
0.04909,False,"[16, 32]",0.05,128,3546,0.743,0.797,True,True,0.702
0.02485,False,"[16, 32]",0.025,128,1174,0.503,0.51,True,False,0.442
0.02397,False,[16],0.025,32,8092,0.632,0.708,True,True,0.586
0.04907,False,"[16, 32]",0.05,32,3630,0.669,0.672,True,True,0.611
0.09624,False,[8],0.1,128,7400,0.674,0.703,True,False,0.669
0.09741,False,[16],0.1,128,5077,0.616,0.625,True,False,0.579
0.02485,False,"[8, 16, 32]",0.025,32,1171,0.668,0.63,False,False,0.635
0.09686,False,"[8, 16]",0.1,128,6170,0.784,0.724,True,True,0.753
0.04833,False,"[8, 16]",0.05,128,6567,0.793,0.964,False,True,0.804
0.09704,False,[32],0.1,128,5805,0.776,0.99,False,True,0.788
0.04965,False,"[16, 32]",0.05,128,1342,0.76,0.828,False,False,0.751
0.02437,False,"[8, 16, 32]",0.025,128,4921,0.665,0.615,True,True,0.614
0.02481,False,"[16, 32]",0.025,64,1461,0.701,0.771,False,False,0.675
0.02435,False,[16],0.025,128,5050,0.638,0.635,True,False,0.589
0.09744,False,"[8, 16, 32]",0.1,32,5001,0.664,0.646,True,True,0.615
0.02429,False,[32],0.025,64,5543,0.643,0.589,True,True,0.596
0.02465,False,"[8, 16]",0.025,64,2706,0.621,0.583,True,False,0.579
0.04916,False,"[8, 16]",0.05,32,3269,0.776,0.849,False,False,0.785
0.04805,False,[16],0.05,64,7682,0.733,0.938,False,False,0.736
0.02426,False,[32],0.025,32,5820,0.718,0.776,False,False,0.706
0.04787,False,[16],0.05,32,8400,0.745,0.911,False,False,0.749
0.04758,False,[8],0.05,128,9605,0.745,0.734,True,True,0.721
0.0984,False,[32],0.1,128,3121,0.699,0.755,True,False,0.665
0.02451,False,[32],0.025,64,3855,0.592,0.536,True,False,0.547
0.0994,False,"[8, 16, 32]",0.1,32,1170,0.436,0.349,False,False,0.379
0.09676,False,[32],0.1,64,6366,0.775,0.979,False,True,0.786
0.0961,False,[16],0.1,64,7683,0.729,0.979,False,False,0.737
0.04872,False,"[8, 16, 32]",0.05,32,5001,0.625,0.589,True,True,0.574
0.04973,False,"[8, 16, 32]",0.05,32,1032,0.436,0.365,True,False,0.379
0.02415,False,"[8, 16]",0.025,64,6689,0.801,0.88,False,True,0.802
0.02373,False,[8],0.025,64,10058,0.688,0.667,True,True,0.65
0.02414,False,"[8, 16]",0.025,32,6739,0.795,0.818,False,True,0.797
0.02483,False,"[16, 32]",0.025,128,1352,0.715,0.76,False,False,0.689
0.04972,False,"[8, 16, 32]",0.05,128,1078,0.436,0.411,False,False,0.379
0.09732,False,"[8, 16, 32]",0.1,128,5257,0.811,0.995,False,True,0.811
0.04799,False,[16],0.05,64,7924,0.713,0.641,True,True,0.678
0.09838,False,"[8, 16]",0.1,64,3164,0.79,0.948,False,False,0.801
0.04777,False,[8],0.05,32,8831,0.648,0.667,True,False,0.596
0.04837,False,[16],0.05,32,6412,0.651,0.635,True,False,0.599
0.04967,False,"[16, 32]",0.05,64,1272,0.602,0.599,True,False,0.545
0.09944,False,"[8, 16, 32]",0.1,128,1085,0.436,0.365,False,False,0.379
