final_learning_rate,include_digit_length_classifier,layers,learning_rate,num_hidden,step,test_accuracy,train_accuracy,use_dropout,use_max_pool,valid_accuracy
0.02477,False,[16],0.025,128,1766,0.685,0.682,False,True,0.647
0.0497,False,[16],0.05,64,1162,0.497,0.542,True,False,0.445
0.09971,False,[32],0.1,128,567,0.498,0.453,True,False,0.449
0.02485,False,"[8, 16, 32]",0.025,128,1166,0.671,0.63,False,True,0.633
0.02482,False,"[8, 16]",0.025,32,1422,0.466,0.432,True,True,0.422
0.04942,False,[8],0.05,128,2243,0.585,0.63,True,True,0.526
0.09966,False,[32],0.1,64,666,0.514,0.484,True,False,0.463
0.02468,False,[8],0.025,64,2457,0.657,0.609,False,True,0.614
0.09947,False,[32],0.1,64,1028,0.67,0.786,False,False,0.649
0.09878,False,[8],0.1,32,2369,0.633,0.573,True,True,0.576
0.04982,False,[32],0.05,32,713,0.465,0.464,True,False,0.417
0.0249,False,"[16, 32]",0.025,64,801,0.601,0.625,False,True,0.539
0.02491,False,[32],0.025,64,667,0.453,0.328,True,False,0.408
0.0498,False,"[16, 32]",0.05,32,770,0.474,0.411,True,True,0.434
0.0996,False,"[16, 32]",0.1,32,770,0.507,0.464,True,True,0.464
0.02497,False,"[16, 32]",0.025,128,230,0.437,0.339,True,False,0.39
0.04958,False,[16],0.05,64,1625,0.686,0.766,False,False,0.648
0.02485,False,"[8, 16, 32]",0.025,64,1132,0.458,0.422,True,True,0.412
0.04974,False,[16],0.05,128,1013,0.531,0.516,True,False,0.478
0.0498,False,"[16, 32]",0.05,128,761,0.542,0.495,True,True,0.483
0.09902,False,[16],0.1,64,1894,0.739,0.792,False,True,0.722
0.04969,False,[32],0.05,64,1219,0.686,0.714,False,True,0.648
0.02476,False,[8],0.025,64,1853,0.483,0.422,True,False,0.433
0.02475,False,[8],0.025,32,1958,0.468,0.401,True,False,0.418
0.02468,False,[8],0.025,32,2501,0.602,0.589,False,True,0.568
0.09987,False,"[16, 32]",0.1,32,250,0.452,0.401,True,False,0.401
0.04979,False,"[16, 32]",0.05,64,802,0.676,0.63,False,True,0.633
0.04951,False,[16],0.05,64,1891,0.722,0.755,False,True,0.701
0.04979,False,[32],0.05,128,822,0.614,0.703,False,False,0.58
0.09885,False,[8],0.1,128,2242,0.672,0.677,True,True,0.615
0.09965,False,"[8, 16]",0.1,32,684,0.606,0.641,False,False,0.573
0.04965,False,[16],0.05,128,1338,0.695,0.797,False,False,0.668
0.04958,False,[16],0.05,128,1645,0.58,0.557,True,True,0.536
0.04954,False,[16],0.05,128,1779,0.737,0.802,False,True,0.717
0.0498,False,"[16, 32]",0.05,64,763,0.48,0.474,True,True,0.433
0.099,False,[16],0.1,32,1942,0.74,0.818,False,True,0.722
0.04983,False,"[8, 16]",0.05,64,661,0.675,0.693,False,False,0.642
0.02497,False,"[8, 16, 32]",0.025,128,223,0.465,0.443,False,False,0.417
0.04995,False,"[8, 16, 32]",0.05,32,200,0.437,0.375,True,False,0.39
0.04971,False,"[8, 16, 32]",0.05,32,1137,0.478,0.443,True,True,0.426
0.04994,False,"[8, 16, 32]",0.05,128,223,0.421,0.406,False,False,0.383
0.02487,False,[32],0.025,128,1001,0.476,0.417,True,True,0.428
0.09959,False,"[16, 32]",0.1,128,787,0.772,0.844,False,True,0.731
0.02481,False,"[8, 16]",0.025,64,1494,0.665,0.615,False,True,0.605
0.02475,False,[16],0.025,32,1931,0.603,0.599,False,True,0.561
0.04968,False,[16],0.05,32,1231,0.487,0.469,True,False,0.434
0.0494,False,[8],0.05,64,2321,0.595,0.516,True,True,0.541
0.02494,False,"[8, 16]",0.025,128,501,0.437,0.391,True,False,0.39
0.09969,False,"[8, 16]",0.1,128,596,0.52,0.49,False,False,0.468
0.04994,False,"[16, 32]",0.05,64,242,0.437,0.396,True,False,0.39
0.02477,False,[16],0.025,32,1777,0.594,0.573,False,False,0.549
0.02471,False,[8],0.025,64,2256,0.619,0.651,False,False,0.594
0.0494,False,[8],0.05,128,2336,0.743,0.807,False,True,0.738
0.02497,False,"[16, 32]",0.025,32,248,0.437,0.349,True,False,0.39
0.02485,False,"[8, 16, 32]",0.025,32,1132,0.461,0.422,True,True,0.411
0.09938,False,[32],0.1,64,1200,0.719,0.786,False,True,0.69
0.02483,False,[16],0.025,128,1331,0.592,0.615,False,False,0.568
0.09959,False,"[16, 32]",0.1,32,799,0.726,0.755,False,True,0.688
0.09972,False,"[8, 16]",0.1,64,534,0.459,0.37,True,False,0.41
0.02476,False,[16],0.025,64,1875,0.652,0.651,False,True,0.617
0.0249,False,"[16, 32]",0.025,128,749,0.459,0.37,True,True,0.424
0.04974,False,[32],0.05,64,1013,0.627,0.677,False,False,0.598
0.02493,False,[32],0.025,128,559,0.442,0.365,True,False,0.397
0.09974,False,"[8, 16]",0.1,128,501,0.437,0.391,True,False,0.39
